Rate coefficients (m3/s)
C1    N2    Elastic                                             
C2    N2    Excitation    0.02 eV                               
C3    N2    Excitation    0.29 eV                               
C4    N2    Excitation    0.29 eV                               
C5    N2    Excitation    0.59 eV                               
C6    N2    Excitation    0.88 eV                               
C7    N2    Excitation    1.17 eV                               
C8    N2    Excitation    1.47 eV                               
C9    N2    Excitation    1.76 eV                               
C10   N2    Excitation    2.06 eV                               
C11   N2    Excitation    2.35 eV                               
C12   N2    Excitation    6.17 eV                               
C13   N2    Excitation    7.00 eV                               
C14   N2    Excitation    7.35 eV                               
C15   N2    Excitation    7.36 eV                               
C16   N2    Excitation    7.80 eV                               
C17   N2    Excitation    8.16 eV                               
C18   N2    Excitation    8.40 eV                               
C19   N2    Excitation    8.55 eV                               
C20   N2    Excitation    8.89 eV                               
C21   N2    Excitation    11.03 eV                              
C22   N2    Excitation    11.87 eV                              
C23   N2    Excitation    12.25 eV                              
C24   N2    Excitation    13.00 eV                              
C25   N2    Ionization    15.60 eV                              
C26   O2    Momentum                                            
C27   O2    Attachment                                          
C28   O2    Attachment                                          
C29   O2    Excitation    0.02 eV                               
C30   O2    Excitation    0.19 eV                               
C31   O2    Excitation    0.19 eV                               
C32   O2    Excitation    0.38 eV                               
C33   O2    Excitation    0.38 eV                               
C34   O2    Excitation    0.57 eV                               
C35   O2    Excitation    0.75 eV                               
C36   O2    Excitation    0.98 eV                               
C37   O2    Excitation    1.63 eV                               
C38   O2    Excitation    4.50 eV                               
C39   O2    Excitation    6.00 eV                               
C40   O2    Excitation    8.40 eV                               
C41   O2    Excitation    9.97 eV                               
C42   O2    Ionization    12.06 eV                              
          R#    E/N (Td) Energy (eV)      C1          C2          C3          C4          C5          C6          C7          C8          C9         C10         C11         C12         C13         C14         C15         C16         C17         C18         C19         C20         C21         C22         C23         C24         C25         C26         C27         C28         C29         C30         C31         C32         C33         C34         C35         C36         C37         C38         C39         C40         C41         C42    
          11   101.9       2.678      0.1080E-12  0.3424E-14  0.2262E-15  0.4387E-14  0.2552E-14  0.1751E-14  0.1059E-14  0.8088E-15  0.5838E-15  0.2738E-15  0.1158E-15  0.8928E-17  0.3290E-16  0.1338E-15  0.7948E-16  0.2549E-16  0.2387E-16  0.1870E-16  0.4178E-16  0.2484E-16  0.6673E-16  0.1699E-17  0.1059E-17  0.8642E-17  0.8219E-18  0.5836E-13  0.2385E-36  0.1856E-16  0.1750E-16  0.4501E-15  0.1542E-15  0.6220E-16  0.2005E-15  0.1220E-15  0.6563E-16  0.3395E-15  0.7618E-16  0.1901E-15  0.3483E-15  0.7156E-15  0.9028E-18  0.6613E-17
          12   112.0       3.019      0.1138E-12  0.3433E-14  0.2464E-15  0.4359E-14  0.2543E-14  0.1738E-14  0.1072E-14  0.8310E-15  0.6171E-15  0.2968E-15  0.1284E-15  0.1207E-16  0.4512E-16  0.1815E-15  0.1117E-15  0.3584E-16  0.3392E-16  0.2672E-16  0.6055E-16  0.3552E-16  0.1071E-15  0.2538E-17  0.1829E-17  0.1602E-16  0.1801E-17  0.6196E-13  0.2124E-36  0.2248E-16  0.1563E-16  0.5628E-15  0.1375E-15  0.5551E-16  0.2510E-15  0.1476E-15  0.8101E-16  0.4024E-15  0.9111E-16  0.2355E-15  0.4436E-15  0.9805E-15  0.1395E-17  0.1168E-16
          13   122.1       3.349      0.1191E-12  0.3434E-14  0.2659E-15  0.4310E-14  0.2532E-14  0.1733E-14  0.1089E-14  0.8532E-15  0.6468E-15  0.3171E-15  0.1391E-15  0.1548E-16  0.5858E-16  0.2330E-15  0.1482E-15  0.4751E-16  0.4538E-16  0.3590E-16  0.8253E-16  0.4765E-16  0.1584E-15  0.3519E-17  0.2894E-17  0.2699E-16  0.3488E-17  0.6548E-13  0.1898E-36  0.2607E-16  0.1397E-16  0.6720E-15  0.1229E-15  0.4956E-16  0.2999E-15  0.1730E-15  0.9619E-16  0.4611E-15  0.1050E-15  0.2788E-15  0.5385E-15  0.1270E-14  0.2014E-17  0.1893E-16
          14   132.2       3.639      0.1234E-12  0.3389E-14  0.2835E-15  0.4227E-14  0.2487E-14  0.1698E-14  0.1079E-14  0.8535E-15  0.6574E-15  0.3268E-15  0.1452E-15  0.1888E-16  0.7222E-16  0.2840E-15  0.1863E-15  0.5963E-16  0.5740E-16  0.4555E-16  0.1063E-15  0.6030E-16  0.2179E-15  0.4570E-17  0.4236E-17  0.4180E-16  0.6082E-17  0.6862E-13  0.1712E-36  0.2901E-16  0.1264E-16  0.7674E-15  0.1107E-15  0.4480E-16  0.3428E-15  0.1958E-15  0.1098E-15  0.5098E-15  0.1166E-15  0.3158E-15  0.6243E-15  0.1560E-14  0.2731E-17  0.2842E-16
          15   142.3       3.918      0.1275E-12  0.3357E-14  0.3000E-15  0.4160E-14  0.2458E-14  0.1680E-14  0.1078E-14  0.8569E-15  0.6674E-15  0.3357E-15  0.1503E-15  0.2244E-16  0.8659E-16  0.3366E-15  0.2274E-15  0.7260E-16  0.7035E-16  0.5595E-16  0.1326E-15  0.7384E-16  0.2867E-15  0.5716E-17  0.5902E-17  0.6131E-16  0.9880E-17  0.7167E-13  0.1546E-36  0.3164E-16  0.1144E-16  0.8575E-15  0.1001E-15  0.4052E-16  0.3833E-15  0.2176E-15  0.1227E-15  0.5548E-15  0.1273E-15  0.3501E-15  0.7073E-15  0.1863E-14  0.3572E-17  0.4065E-16
          16   152.4       4.194      0.1311E-12  0.3273E-14  0.3169E-15  0.4030E-14  0.2385E-14  0.1626E-14  0.1054E-14  0.8456E-15  0.6675E-15  0.3396E-15  0.1536E-15  0.2620E-16  0.1019E-15  0.3914E-15  0.2720E-15  0.8658E-16  0.8435E-16  0.6720E-16  0.1617E-15  0.8836E-16  0.3654E-15  0.6955E-17  0.7934E-17  0.8644E-16  0.1523E-16  0.7469E-13  0.1399E-36  0.3409E-16  0.1038E-16  0.9448E-15  0.9076E-16  0.3672E-16  0.4227E-15  0.2390E-15  0.1354E-15  0.5975E-15  0.1375E-15  0.3830E-15  0.7895E-15  0.2183E-14  0.4553E-17  0.5616E-16
          17   162.5       4.417      0.1338E-12  0.3215E-14  0.3304E-15  0.3946E-14  0.2338E-14  0.1593E-14  0.1037E-14  0.8351E-15  0.6643E-15  0.3404E-15  0.1546E-15  0.2964E-16  0.1161E-15  0.4409E-15  0.3144E-15  0.9981E-16  0.9768E-16  0.7791E-16  0.1905E-15  0.1020E-15  0.4459E-15  0.8149E-17  0.1017E-16  0.1158E-15  0.2207E-16  0.7718E-13  0.1291E-36  0.3579E-16  0.9597E-17  0.1012E-14  0.8370E-16  0.3393E-16  0.4532E-15  0.2561E-15  0.1454E-15  0.6289E-15  0.1449E-15  0.4076E-15  0.8563E-15  0.2477E-14  0.5586E-17  0.7405E-16
          18   172.5       4.680      0.1370E-12  0.3129E-14  0.3463E-15  0.3819E-14  0.2268E-14  0.1543E-14  0.1014E-14  0.8210E-15  0.6590E-15  0.3409E-15  0.1562E-15  0.3360E-16  0.1324E-15  0.4972E-15  0.3634E-15  0.1150E-15  0.1130E-15  0.9018E-16  0.2239E-15  0.1176E-15  0.5398E-15  0.9515E-17  0.1289E-16  0.1529E-15  0.3126E-16  0.8007E-13  0.1171E-36  0.3782E-16  0.8710E-17  0.1090E-14  0.7585E-16  0.3077E-16  0.4883E-15  0.2754E-15  0.1568E-15  0.6660E-15  0.1538E-15  0.4361E-15  0.9327E-15  0.2815E-14  0.6825E-17  0.9655E-16
          19   182.6       4.894      0.1393E-12  0.3052E-14  0.3593E-15  0.3712E-14  0.2206E-14  0.1499E-14  0.9902E-15  0.8056E-15  0.6507E-15  0.3386E-15  0.1558E-15  0.3720E-16  0.1474E-15  0.5473E-15  0.4095E-15  0.1292E-15  0.1273E-15  0.1017E-15  0.2564E-15  0.1321E-15  0.6332E-15  0.1080E-16  0.1578E-16  0.1946E-15  0.4238E-16  0.8246E-13  0.1085E-36  0.3919E-16  0.8081E-17  0.1150E-14  0.7027E-16  0.2853E-16  0.5152E-15  0.2907E-15  0.1656E-15  0.6931E-15  0.1603E-15  0.4570E-15  0.9942E-15  0.3122E-14  0.8105E-17  0.1217E-15
          20   192.7       5.077      0.1411E-12  0.2979E-14  0.3706E-15  0.3616E-14  0.2148E-14  0.1458E-14  0.9651E-15  0.7872E-15  0.6391E-15  0.3342E-15  0.1545E-15  0.4056E-16  0.1615E-15  0.5933E-15  0.4537E-15  0.1428E-15  0.1410E-15  0.1126E-15  0.2884E-15  0.1457E-15  0.7266E-15  0.1203E-16  0.1884E-16  0.2412E-15  0.5560E-16  0.8453E-13  0.1021E-36  0.4013E-16  0.7628E-17  0.1197E-14  0.6619E-16  0.2690E-16  0.5365E-15  0.3032E-15  0.1728E-15  0.7137E-15  0.1653E-15  0.4729E-15  0.1046E-14  0.3409E-14  0.9440E-17  0.1497E-15
