# Obtained from 
# http://ccmc.gsfc.nasa.gov/cgi-bin/modelweb/models/vitmo_model.cgi
# On Fri, Oct. 8 2010
#
# Input parameters 
# year= 2000, month= 01, day= 01, hour=1.5, 
# Time_type = Universal
# Coordinate_type = Geographic
# latitude= 55., longitude= 45., height= 100.
# Prof. parameters: start= 900. stop= 1000. step= 1. 
# Optional parametes: F10.7(daily) =not specifyed; F10.7(3-month avg) =not 
# specifyed; ap(daily) = not specifyed 
#
#    Selected parameters are:
# 1 Height, km
# 2 O, cm-3 
# 3 N2, cm-3
# 4 O2, cm-3
# 5 Temperature_neutral, K
   83.0  1.891E+10  1.450E+14  3.843E+13  211.7
   84.0  3.007E+10  1.250E+14  3.306E+13  209.8
   85.0  4.581E+10  1.076E+14  2.840E+13  207.8
   86.0  6.693E+10  9.246E+13  2.436E+13  205.8
   87.0  9.387E+10  7.937E+13  2.086E+13  203.8
   88.0  1.266E+11  6.804E+13  1.783E+13  201.8
   89.0  1.644E+11  5.824E+13  1.521E+13  199.8
   90.0  2.060E+11  4.978E+13  1.295E+13  197.9
   91.0  2.495E+11  4.247E+13  1.100E+13  195.9
   92.0  2.929E+11  3.617E+13  9.317E+12  194.0
   93.0  3.339E+11  3.074E+13  7.872E+12  192.3
   94.0  3.702E+11  2.607E+13  6.631E+12  190.7
   95.0  4.003E+11  2.205E+13  5.567E+12  189.4
   96.0  4.228E+11  1.861E+13  4.658E+12  188.3
   97.0  4.374E+11  1.567E+13  3.884E+12  187.5
   98.0  4.439E+11  1.317E+13  3.227E+12  187.1
   99.0  4.430E+11  1.104E+13  2.672E+12  187.1
  100.0  4.353E+11  9.231E+12  2.205E+12  187.5
  101.0  4.222E+11  7.707E+12  1.813E+12  188.5
  102.0  4.047E+11  6.426E+12  1.486E+12  189.9
  103.0  3.841E+11  5.352E+12  1.215E+12  191.9
  104.0  3.614E+11  4.455E+12  9.911E+11  194.4
  105.0  3.377E+11  3.708E+12  8.069E+11  197.6
  106.0  3.136E+11  3.086E+12  6.561E+11  201.4
  107.0  2.897E+11  2.570E+12  5.328E+11  206.0
  108.0  2.664E+11  2.141E+12  4.324E+11  211.3
  109.0  2.439E+11  1.786E+12  3.508E+11  217.6
  110.0  2.225E+11  1.491E+12  2.846E+11  224.9
  111.0  2.023E+11  1.246E+12  2.310E+11  233.5
  112.0  1.835E+11  1.043E+12  1.878E+11  243.3
  113.0  1.660E+11  8.756E+11  1.529E+11  254.4
  114.0  1.501E+11  7.372E+11  1.249E+11  266.8
  115.0  1.356E+11  6.229E+11  1.024E+11  280.4
  116.0  1.225E+11  5.286E+11  8.436E+10  295.3
  117.0  1.108E+11  4.508E+11  6.988E+10  311.3
  118.0  1.005E+11  3.867E+11  5.826E+10  328.1
  119.0  9.136E+10  3.339E+11  4.894E+10  345.3
  120.0  8.347E+10  2.905E+11  4.147E+10  362.3
  121.0  7.673E+10  2.550E+11  3.549E+10  378.4
  122.0  7.109E+10  2.262E+11  3.072E+10  392.5
  123.0  6.659E+10  2.033E+11  2.697E+10  402.9
  124.0  6.262E+10  1.837E+11  2.383E+10  412.1
  125.0  5.897E+10  1.665E+11  2.113E+10  421.1
  126.0  5.561E+10  1.513E+11  1.882E+10  429.8
  127.0  5.251E+10  1.378E+11  1.682E+10  438.2
  128.0  4.964E+10  1.258E+11  1.508E+10  446.4
  129.0  4.699E+10  1.152E+11  1.356E+10  454.3
  130.0  4.454E+10  1.056E+11  1.223E+10  461.9
  131.0  4.225E+10  9.708E+10  1.106E+10  469.4
  132.0  4.013E+10  8.938E+10  1.003E+10  476.6
  133.0  3.815E+10  8.243E+10  9.121E+09  483.6
  134.0  3.630E+10  7.614E+10  8.311E+09  490.3
  135.0  3.458E+10  7.044E+10  7.590E+09  496.9
  136.0  3.296E+10  6.526E+10  6.944E+09  503.2
  137.0  3.145E+10  6.055E+10  6.366E+09  509.4
  138.0  3.003E+10  5.625E+10  5.846E+09  515.4
  139.0  2.870E+10  5.231E+10  5.378E+09  521.1
  140.0  2.744E+10  4.871E+10  4.954E+09  526.8
  141.0  2.626E+10  4.541E+10  4.571E+09  532.2
  142.0  2.515E+10  4.237E+10  4.223E+09  537.5
  143.0  2.410E+10  3.958E+10  3.906E+09  542.6
  144.0  2.311E+10  3.701E+10  3.618E+09  547.5
  145.0  2.217E+10  3.463E+10  3.354E+09  552.3
  146.0  2.129E+10  3.244E+10  3.113E+09  557.0
  147.0  2.045E+10  3.040E+10  2.893E+09  561.5
  148.0  1.965E+10  2.852E+10  2.690E+09  565.8
  149.0  1.890E+10  2.678E+10  2.504E+09  570.1
  150.0  1.818E+10  2.516E+10  2.333E+09  574.2
  151.0  1.750E+10  2.365E+10  2.175E+09  578.1
  152.0  1.685E+10  2.225E+10  2.030E+09  582.0
  153.0  1.624E+10  2.094E+10  1.895E+09  585.7
  154.0  1.565E+10  1.972E+10  1.771E+09  589.4
  155.0  1.509E+10  1.859E+10  1.656E+09  592.9
  156.0  1.456E+10  1.753E+10  1.550E+09  596.3
  157.0  1.405E+10  1.653E+10  1.451E+09  599.6
  158.0  1.356E+10  1.561E+10  1.359E+09  602.8
  159.0  1.309E+10  1.474E+10  1.274E+09  605.9
  160.0  1.265E+10  1.392E+10  1.194E+09  608.9
  161.0  1.222E+10  1.315E+10  1.121E+09  611.8
  162.0  1.182E+10  1.243E+10  1.052E+09  614.6
  163.0  1.142E+10  1.176E+10  9.879E+08  617.4
  164.0  1.105E+10  1.113E+10  9.281E+08  620.0
