# Rate coefficients (m3/s)
# C1    H2    Momentum                                            
# C2    H2    Excitation    0.04 eV                               
# C3    H2    Excitation    0.07 eV                               
# C4    H2    Excitation    0.52 eV                               
# C5    H2    Excitation    1.00 eV                               
# C6    H2    Excitation    1.50 eV                               
# C7    H2    Excitation    8.90 eV                               
# C8    H2    Excitation    11.30 eV                              
# C9    H2    Excitation    11.75 eV                              
# C10   H2    Excitation    11.80 eV                              
# C11   H2    Excitation    12.40 eV                              
# C12   H2    Excitation    14.00 eV                              
# C13   H2    Excitation    15.00 eV                              
# C14   H2    Excitation    15.20 eV                              
# C15   H2    Ionization    15.40 eV                              
# C16   H2    Excitation    16.60 eV                              
# C17   He    Momentum                                            
# C18   He    Excitation    19.80 eV                              
# C19   He    Ionization    24.58 eV                              
#           R#    E/N (Td) Energy (eV)      C1          C2          C3          C4          C5          C6          C7          C8          C9         C10         C11         C12         C13         C14         C15         C16         C17         C18         C19    
          15   142.3       5.699      0.1371E-12  0.1776E-13  0.1067E-13  0.3135E-14  0.2730E-15  0.2679E-16  0.1045E-14  0.4031E-15  0.3053E-15  0.1996E-15  0.2839E-15  0.3508E-16  0.2291E-16  0.3938E-16  0.1792E-15  0.2890E-17  0.7360E-13  0.1682E-16  0.1376E-17
          16   152.4       5.947      0.1366E-12  0.1795E-13  0.1079E-13  0.3100E-14  0.2720E-15  0.2661E-16  0.1166E-14  0.4770E-15  0.3483E-15  0.2285E-15  0.3435E-15  0.4172E-16  0.3008E-16  0.5189E-16  0.2328E-15  0.3687E-17  0.7410E-13  0.2300E-16  0.2315E-17
          17   162.5       6.192      0.1361E-12  0.1812E-13  0.1090E-13  0.3064E-14  0.2705E-15  0.2638E-16  0.1286E-14  0.5561E-15  0.3913E-15  0.2577E-15  0.4082E-15  0.4864E-16  0.3842E-16  0.6652E-16  0.2947E-15  0.4584E-17  0.7451E-13  0.3043E-16  0.3681E-17
          18   172.5       6.437      0.1356E-12  0.1827E-13  0.1099E-13  0.3026E-14  0.2687E-15  0.2613E-16  0.1404E-14  0.6403E-15  0.4343E-15  0.2870E-15  0.4778E-15  0.5579E-16  0.4796E-16  0.8336E-16  0.3652E-15  0.5581E-17  0.7487E-13  0.3918E-16  0.5583E-17
          19   182.6       6.682      0.1350E-12  0.1839E-13  0.1107E-13  0.2986E-14  0.2665E-15  0.2585E-16  0.1522E-14  0.7296E-15  0.4771E-15  0.3163E-15  0.5522E-15  0.6312E-16  0.5871E-16  0.1025E-15  0.4446E-15  0.6678E-17  0.7517E-13  0.4927E-16  0.8140E-17
          20   192.7       6.928      0.1345E-12  0.1851E-13  0.1114E-13  0.2946E-14  0.2640E-15  0.2555E-16  0.1638E-14  0.8238E-15  0.5195E-15  0.3454E-15  0.6312E-15  0.7059E-16  0.7070E-16  0.1239E-15  0.5328E-15  0.7870E-17  0.7543E-13  0.6076E-16  0.1147E-16
          21   202.8       7.174      0.1340E-12  0.1861E-13  0.1120E-13  0.2906E-14  0.2614E-15  0.2523E-16  0.1751E-14  0.9220E-15  0.5610E-15  0.3740E-15  0.7140E-15  0.7809E-16  0.8387E-16  0.1476E-15  0.6296E-15  0.9150E-17  0.7565E-13  0.7359E-16  0.1569E-16
          22   212.9       7.423      0.1335E-12  0.1870E-13  0.1125E-13  0.2866E-14  0.2585E-15  0.2491E-16  0.1862E-14  0.1025E-14  0.6018E-15  0.4024E-15  0.8010E-15  0.8565E-16  0.9825E-16  0.1735E-15  0.7353E-15  0.1052E-16  0.7583E-13  0.8782E-16  0.2093E-16
          23   223.0       7.674      0.1329E-12  0.1877E-13  0.1130E-13  0.2825E-14  0.2556E-15  0.2457E-16  0.1972E-14  0.1132E-14  0.6420E-15  0.4303E-15  0.8920E-15  0.9323E-16  0.1139E-15  0.2018E-15  0.8498E-15  0.1198E-16  0.7598E-13  0.1034E-15  0.2730E-16
          24   233.1       7.927      0.1324E-12  0.1884E-13  0.1135E-13  0.2784E-14  0.2525E-15  0.2422E-16  0.2077E-14  0.1242E-14  0.6809E-15  0.4575E-15  0.9863E-15  0.1007E-15  0.1306E-15  0.2323E-15  0.9728E-15  0.1352E-16  0.7610E-13  0.1204E-15  0.3490E-16
